,0,1
163,44041.015625,-125.92986
164,44042.96875,-126.07118
165,44044.921875,-126.36205
166,44046.875,-126.17925
167,44048.828125,-126.00581
168,44050.78125,-125.98206
169,44052.734375,-125.8876
170,44054.6875,-126.23119
171,44056.640625,-126.63168
172,44058.59375,-126.53714
173,44060.546875,-125.62713
174,44062.5,-124.81149
175,44064.453125,-125.47632
176,44066.40625,-125.98143
177,44068.359375,-125.75888
178,44070.3125,-125.97647
179,44072.265625,-126.62684
180,44074.21875,-126.46771
181,44076.171875,-125.63737
182,44078.125,-125.38166
183,44080.078125,-125.10478
184,44082.03125,-124.98635
185,44083.984375,-125.59192
186,44085.9375,-126.17216
187,44087.890625,-126.73611
188,44089.84375,-127.00278
189,44091.796875,-126.7632
190,44093.75,-126.1334
191,44095.703125,-124.8416
192,44097.65625,-125.08159
193,44099.609375,-125.93301
194,44101.5625,-126.20237
195,44103.515625,-126.50455
196,44105.46875,-126.62451
197,44107.421875,-126.03257
198,44109.375,-125.56623
199,44111.328125,-125.42352
200,44113.28125,-126.21717
201,44115.234375,-127.30579
202,44117.1875,-127.42868
203,44119.140625,-127.70981
204,44121.09375,-127.42919
205,44123.046875,-126.57222
206,44125.0,-125.8724
207,44126.953125,-125.84557
208,44128.90625,-126.2944
209,44130.859375,-126.96812
210,44132.8125,-127.6909
211,44134.765625,-127.56097
212,44136.71875,-127.01658
213,44138.671875,-126.27421
214,44140.625,-125.98918
215,44142.578125,-126.58412
216,44144.53125,-126.8606
217,44146.484375,-125.92265
218,44148.4375,-125.58659
219,44150.390625,-126.70052
220,44152.34375,-127.63515
221,44154.296875,-127.27557
222,44156.25,-126.24707
223,44158.203125,-125.54935
224,44160.15625,-126.02726
225,44162.109375,-126.24318
226,44164.0625,-125.52629
227,44166.015625,-125.57855
228,44167.96875,-126.38666
229,44169.921875,-126.55956
230,44171.875,-125.82437
231,44173.828125,-125.52975
232,44175.78125,-126.20869
233,44177.734375,-126.133
234,44179.6875,-126.04533
235,44181.640625,-126.40997
236,44183.59375,-126.14703
237,44185.546875,-126.43555
238,44187.5,-127.11055
239,44189.453125,-126.92461
240,44191.40625,-126.6223
241,44193.359375,-126.96613
242,44195.3125,-127.71851
243,44197.265625,-128.13881
244,44199.21875,-127.27263
245,44201.171875,-126.38727
246,44203.125,-126.3215
247,44205.078125,-126.17554
248,44207.03125,-126.29736
249,44208.984375,-126.87206
250,44210.9375,-126.78227
251,44212.890625,-126.77447
252,44214.84375,-126.86303
253,44216.796875,-125.98041
254,44218.75,-125.81995
255,44220.703125,-126.2437
256,44222.65625,-126.39981
257,44224.609375,-125.95189
258,44226.5625,-125.05254
259,44228.515625,-125.06427
260,44230.46875,-125.96808
261,44232.421875,-126.01668
262,44234.375,-125.40235
263,44236.328125,-125.42661
264,44238.28125,-125.56111
265,44240.234375,-126.36534
266,44242.1875,-127.03109
267,44244.140625,-126.64319
268,44246.09375,-126.27482
269,44248.046875,-126.6688
270,44250.0,-126.65302
271,44251.953125,-126.01396
272,44253.90625,-126.91473
273,44255.859375,-127.85759
274,44257.8125,-127.28072
275,44259.765625,-127.07786
276,44261.71875,-126.35554
277,44263.671875,-125.3514
278,44265.625,-125.33093
279,44267.578125,-125.87753
280,44269.53125,-126.36806
281,44271.484375,-125.83376
282,44273.4375,-125.6382
283,44275.390625,-126.52279
284,44277.34375,-127.06981
285,44279.296875,-126.43723
286,44281.25,-126.09311
287,44283.203125,-126.46893
288,44285.15625,-126.13476
289,44287.109375,-125.28308
290,44289.0625,-125.48874
291,44291.015625,-125.90826
292,44292.96875,-127.17793
293,44294.921875,-127.1522
294,44296.875,-125.91947
295,44298.828125,-125.92361
296,44300.78125,-126.77131
297,44302.734375,-126.41551
298,44304.6875,-125.98144
299,44306.640625,-125.92104
300,44308.59375,-126.19102
301,44310.546875,-126.22285
302,44312.5,-126.23334
303,44314.453125,-125.84447
304,44316.40625,-125.71233
305,44318.359375,-126.01711
306,44320.3125,-126.0538
307,44322.265625,-126.18318
308,44324.21875,-125.57748
309,44326.171875,-125.44363
310,44328.125,-125.81064
311,44330.078125,-126.13937
312,44332.03125,-126.09069
313,44333.984375,-126.02608
314,44335.9375,-125.61743
315,44337.890625,-125.24322
316,44339.84375,-125.44926
317,44341.796875,-125.62835
318,44343.75,-125.45807
319,44345.703125,-125.82411
320,44347.65625,-126.35558
321,44349.609375,-126.71316
322,44351.5625,-126.62874
323,44353.515625,-126.47135
324,44355.46875,-126.20132
325,44357.421875,-125.81239
326,44359.375,-125.69159
327,44361.328125,-125.5882
328,44363.28125,-125.43217
329,44365.234375,-125.41957
330,44367.1875,-125.64993
331,44369.140625,-125.67958
332,44371.09375,-125.5212
333,44373.046875,-125.80927
334,44375.0,-126.17325
335,44376.953125,-125.49194
336,44378.90625,-125.75945
337,44380.859375,-125.97754
338,44382.8125,-125.4808
339,44384.765625,-125.35916
340,44386.71875,-125.77242
341,44388.671875,-126.06106
342,44390.625,-125.99599
343,44392.578125,-125.99516
344,44394.53125,-126.27548
345,44396.484375,-126.64316
346,44398.4375,-127.05026
347,44400.390625,-127.24258
348,44402.34375,-126.21149
349,44404.296875,-125.58263
350,44406.25,-125.69849
351,44408.203125,-125.64718
352,44410.15625,-125.37031
353,44412.109375,-125.63776
354,44414.0625,-126.56435
355,44416.015625,-126.85471
356,44417.96875,-126.529
357,44419.921875,-125.96931
358,44421.875,-125.50552
359,44423.828125,-125.42207
360,44425.78125,-125.90788
361,44427.734375,-126.16164
362,44429.6875,-126.17705
363,44431.640625,-126.13258
364,44433.59375,-125.9818
365,44435.546875,-126.68847
366,44437.5,-127.13539
367,44439.453125,-126.76456
368,44441.40625,-126.40261
369,44443.359375,-126.18943
370,44445.3125,-126.04318
371,44447.265625,-126.14668
372,44449.21875,-126.12518
373,44451.171875,-125.77005
374,44453.125,-125.27708
375,44455.078125,-125.37204
376,44457.03125,-126.16107
377,44458.984375,-126.7383
378,44460.9375,-125.86275
379,44462.890625,-125.32816
380,44464.84375,-125.65602
381,44466.796875,-125.90681
382,44468.75,-125.57822
383,44470.703125,-124.98422
384,44472.65625,-124.57446
385,44474.609375,-125.07469
386,44476.5625,-126.188
387,44478.515625,-126.20325
388,44480.46875,-126.12359
389,44482.421875,-126.36967
390,44484.375,-126.56048
391,44486.328125,-126.50835
392,44488.28125,-125.81594
393,44490.234375,-125.07635
394,44492.1875,-124.56409
395,44494.140625,-124.8112
396,44496.09375,-125.75052
397,44498.046875,-125.64782
398,44500.0,-125.3381
399,44501.953125,-125.79411
400,44503.90625,-127.54131
401,44505.859375,-127.44661
402,44507.8125,-126.05952
403,44509.765625,-125.73306
404,44511.71875,-125.79777
405,44513.671875,-125.67796
406,44515.625,-125.76485
407,44517.578125,-126.08914
408,44519.53125,-126.60263
409,44521.484375,-126.42432
410,44523.4375,-125.93618
411,44525.390625,-125.80354
412,44527.34375,-125.85486
413,44529.296875,-125.37923
414,44531.25,-124.95419
415,44533.203125,-124.99903
416,44535.15625,-125.0086
417,44537.109375,-125.46043
418,44539.0625,-125.74643
419,44541.015625,-125.40749
420,44542.96875,-125.44097
421,44544.921875,-125.84155
422,44546.875,-126.14314
423,44548.828125,-126.12478
424,44550.78125,-125.4284
425,44552.734375,-124.40539
426,44554.6875,-124.67132
427,44556.640625,-125.34534
428,44558.59375,-124.76123
429,44560.546875,-124.47781
430,44562.5,-124.78712
431,44564.453125,-124.70737
432,44566.40625,-124.61909
433,44568.359375,-125.34502
434,44570.3125,-125.35117
435,44572.265625,-124.75208
436,44574.21875,-124.99488
437,44576.171875,-124.95027
438,44578.125,-124.85991
439,44580.078125,-124.39535
440,44582.03125,-123.99609
